"Time","Sent- Upload","Received- Download"
2024-03-02 19:56:15,9039,-1692
2024-03-02 19:56:30,9168,-1855
2024-03-02 19:56:45,9035,-1529
2024-03-02 19:57:00,8998,-1431
2024-03-02 19:57:15,8755,-1267
2024-03-02 19:57:30,8645,-1033
2024-03-02 19:57:45,8789,-1171
2024-03-02 19:58:00,8755,-996
2024-03-02 19:58:15,8898,-991
2024-03-02 19:58:30,8859,-954
2024-03-02 19:58:45,8799,-994
2024-03-02 19:59:00,8786,-1079
2024-03-02 19:59:15,8698,-996
2024-03-02 19:59:30,8711,-968
2024-03-02 19:59:45,8710,-917
2024-03-02 20:00:00,8729,-937
2024-03-02 20:00:15,8693,-1005
2024-03-02 20:00:30,8687,-923
2024-03-02 20:00:45,8815,-1058
2024-03-02 20:01:00,783645,-1296105
2024-03-02 20:01:15,783642,-1296139
2024-03-02 20:01:30,783642,-1296447
2024-03-02 20:01:45,510011,-810720
2024-03-02 20:02:00,8685,-1115
2024-03-02 20:02:15,8699,-1110
2024-03-02 20:02:30,763137,-877677
2024-03-02 20:02:45,1710404,-1964331
2024-03-02 20:03:00,1862601,-2140542
2024-03-02 20:03:15,2176317,-2873775
2024-03-02 20:03:30,1420463,-2211869
2024-03-02 20:03:45,744890,-1397772
2024-03-02 20:04:00,1938409,-2740605
2024-03-02 20:04:15,3743375,-4759929
2024-03-02 20:04:30,4166554,-5186423
2024-03-02 20:04:45,6021723,-7645345
2024-03-02 20:05:00,5176017,-6986916
2024-03-02 20:05:15,3364271,-4639445
2024-03-02 20:05:30,3958188,-5614994
2024-03-02 20:05:45,1170307,-2024230
2024-03-02 20:06:00,1159144,-1778898
2024-03-02 20:06:15,1144748,-1776168
2024-03-02 20:06:30,1101043,-1602472
2024-03-02 20:06:45,1187536,-1760573
2024-03-02 20:07:00,1181660,-1626281
2024-03-02 20:07:15,1186893,-1638595
2024-03-02 20:07:30,1655643,-2475510
2024-03-02 20:07:45,1522826,-2109906
2024-03-02 20:08:00,1517520,-2097002
2024-03-02 20:08:15,863146,-774895
2024-03-02 20:08:30,522956,-38430
2024-03-02 20:08:45,496043,-35824
2024-03-02 20:09:00,350675,-25252
2024-03-02 20:09:15,205393,-14844
2024-03-02 20:09:30,77854,-5518
2024-03-02 20:09:45,8799,-1244
2024-03-02 20:10:00,8740,-1046
2024-03-02 20:10:15,8638,-1151
2024-03-02 20:10:30,8617,-1046
2024-03-02 20:10:45,8651,-1049
2024-03-02 20:11:00,8626,-1120
2024-03-02 20:11:15,8732,-1197
2024-03-02 20:11:30,10481,-2037
2024-03-02 20:11:45,15378,-2647
2024-03-02 20:12:00,16154,-2763
2024-03-02 20:12:15,16297,-2690
2024-03-02 20:12:30,15938,-2183
2024-03-02 20:12:45,10818,-1664
2024-03-02 20:13:00,9319,-1171
2024-03-02 20:13:15,8695,-1094
2024-03-02 20:13:30,8760,-1061
2024-03-02 20:13:45,8765,-1119
2024-03-02 20:14:00,1018261,-1828041
2024-03-02 20:14:15,2179530,-3866614
2024-03-02 20:14:30,2311027,-4049026
2024-03-02 20:14:45,2517205,-4404281
2024-03-02 20:15:00,1884795,-3308699
2024-03-02 20:15:15,1089575,-1882378
2024-03-02 20:15:30,1004160,-1690345
2024-03-02 20:15:45,472788,-762317
2024-03-02 20:16:00,8611,-980
2024-03-02 20:16:15,1410525,-1756832
2024-03-02 20:16:30,3631543,-4471946
2024-03-02 20:16:45,4323430,-5275628
2024-03-02 20:17:00,5218992,-6318670
2024-03-02 20:17:15,4436806,-5253599
2024-03-02 20:17:30,2711878,-3175617
2024-03-02 20:17:45,3004923,-3784092
2024-03-02 20:18:00,2149989,-3018255
2024-03-02 20:18:15,1076997,-1788951
2024-03-02 20:18:30,1076983,-1788869
2024-03-02 20:18:45,619269,-908507
2024-03-02 20:19:00,123197,-68645
2024-03-02 20:19:15,1139782,-1454472
2024-03-02 20:19:30,3712974,-4592493
2024-03-02 20:19:45,4863975,-5909264
2024-03-02 20:20:00,5158842,-6596060
2024-03-02 20:20:15,3351437,-4460189
2024-03-02 20:20:30,1130379,-1754004
2024-03-02 20:20:45,682002,-1198614
2024-03-02 20:21:00,860575,-1546520
2024-03-02 20:21:15,1206791,-1953804
2024-03-02 20:21:30,1205417,-1926443
2024-03-02 20:21:45,1032529,-1372503
2024-03-02 20:22:00,507416,-523056
2024-03-02 20:22:15,8822,-1023
2024-03-02 20:22:30,2065923,-1951951
2024-03-02 20:22:45,4792298,-4520585
2024-03-02 20:23:00,5400902,-5092162
2024-03-02 20:23:15,6226898,-6559619
2024-03-02 20:23:30,3765774,-4441648
2024-03-02 20:23:45,1494088,-2270545
2024-03-02 20:24:00,1751237,-2931412
2024-03-02 20:24:15,1155781,-1860945
2024-03-02 20:24:30,1501294,-2206658
2024-03-02 20:24:45,1528570,-2207446
2024-03-02 20:25:00,1113178,-1365544
2024-03-02 20:25:15,546284,-474654
2024-03-02 20:25:30,24954,-2171
2024-03-02 20:25:45,2414715,-2387880
2024-03-02 20:26:00,6115092,-6002972
2024-03-02 20:26:15,7325778,-7174752
2024-03-02 20:26:30,8248993,-8714066
2024-03-02 20:26:45,4893203,-5496828
2024-03-02 20:27:00,1364111,-2073129
2024-03-02 20:27:15,1872638,-3149943
2024-03-02 20:27:30,1501619,-2177728
2024-03-02 20:27:45,1869793,-2769905
2024-03-02 20:28:00,2183523,-2789231
2024-03-02 20:28:15,1484048,-1563469
2024-03-02 20:28:30,844736,-543831
2024-03-02 20:28:45,302348,-22041
2024-03-02 20:29:00,667764,-596021
2024-03-02 20:29:15,5067909,-4655328
2024-03-02 20:29:30,8740554,-8037711
2024-03-02 20:29:45,9039783,-8369575
2024-03-02 20:30:00,7483766,-7571140
2024-03-02 20:30:15,3377413,-3847514
2024-03-02 20:30:30,1332369,-1836709
2024-03-02 20:30:45,1885455,-2209933
2024-03-02 20:31:00,2572365,-2880950
2024-03-02 20:31:15,2785430,-2615053
2024-03-02 20:31:30,2864249,-2619307
2024-03-02 20:31:45,1339346,-712529
2024-03-02 20:32:00,545650,-37560
2024-03-02 20:32:15,69009,-5070
2024-03-02 20:32:30,4195554,-3586675
2024-03-02 20:32:45,8732368,-7471403
2024-03-02 20:33:00,9062392,-7747489
2024-03-02 20:33:15,9133939,-8815954
2024-03-02 20:33:30,4868439,-5175509
2024-03-02 20:33:45,1602387,-2289117
2024-03-02 20:34:00,1226562,-1643654
2024-03-02 20:34:15,1874618,-2325456
2024-03-02 20:34:30,2790476,-3397903
2024-03-02 20:34:45,3134236,-3420825
2024-03-02 20:35:00,2672054,-2027135
2024-03-02 20:35:15,1446697,-564237
2024-03-02 20:35:30,670330,-44891
2024-03-02 20:35:45,1758755,-1280603
2024-03-02 20:36:00,6223979,-5097631
2024-03-02 20:36:15,9293391,-7587534
2024-03-02 20:36:30,10008658,-8662593
2024-03-02 20:36:45,7775263,-7383916
2024-03-02 20:37:00,3213218,-3562412
2024-03-02 20:37:15,1849045,-2357676
2024-03-02 20:37:30,2717415,-3831894
2024-03-02 20:37:45,2907527,-3452989
2024-03-02 20:38:00,3785625,-4326901
2024-03-02 20:38:15,4067661,-4219635
2024-03-02 20:38:30,1955873,-944909
2024-03-02 20:38:45,940120,-61658
2024-03-02 20:39:00,1671215,-1041671
2024-03-02 20:39:15,5791547,-4753207
2024-03-02 20:39:30,9372709,-7690357
2024-03-02 20:39:45,9856327,-8325441
2024-03-02 20:40:00,8536862,-8477250
2024-03-02 20:40:15,4106720,-4946528
2024-03-02 20:40:30,2336106,-3402351
2024-03-02 20:40:45,3108517,-4331947
2024-03-02 20:41:00,4017615,-5213671
2024-03-02 20:41:15,4484989,-5243096
2024-03-02 20:41:30,4905889,-5262819
2024-03-02 20:41:45,2970647,-1633844
2024-03-02 20:42:00,2083688,-134790
2024-03-02 20:42:15,1662189,-106202
2024-03-02 20:42:30,2276510,-1048412
2024-03-02 20:42:45,6389641,-5033363
2024-03-02 20:43:00,9249735,-7827294
2024-03-02 20:43:15,9708185,-8447928
2024-03-02 20:43:30,9006641,-9375823
2024-03-02 20:43:45,4775682,-5899484
2024-03-02 20:44:00,3087591,-4406232
2024-03-02 20:44:15,3610326,-5177656
2024-03-02 20:44:30,4617772,-6564429
2024-03-02 20:44:45,4580487,-6435120
2024-03-02 20:45:00,4248958,-5925656
2024-03-02 20:45:15,2112514,-2570748
2024-03-02 20:45:30,603296,-41935
2024-03-02 20:45:45,573076,-39045
2024-03-02 20:46:00,473675,-32678
2024-03-02 20:46:15,312713,-20956
2024-03-02 20:46:30,3942560,-3297855
2024-03-02 20:46:45,8064034,-6962897
2024-03-02 20:47:00,8659926,-7477668
2024-03-02 20:47:15,10417095,-10991680
2024-03-02 20:47:30,7844443,-10296390
2024-03-02 20:47:45,4524323,-7345506
2024-03-02 20:48:00,4481488,-7239339
2024-03-02 20:48:15,4808893,-7611254
2024-03-02 20:48:30,4684554,-7358346
2024-03-02 20:48:45,4754874,-7360716
2024-03-02 20:49:00,3495430,-5339214
2024-03-02 20:49:15,621404,-41866
2024-03-02 20:49:30,619592,-41739
2024-03-02 20:49:45,541903,-37834
2024-03-02 20:50:00,597705,-44227
2024-03-02 20:50:15,842319,-58255
2024-03-02 20:50:30,1195611,-79238
2024-03-02 20:50:45,1559424,-102536
2024-03-02 20:51:00,3710859,-1935317
2024-03-02 20:51:15,8118160,-5955913
2024-03-02 20:51:30,10026286,-8064756
2024-03-02 20:51:45,9499106,-8122484
2024-03-02 20:52:00,5985067,-5181741
2024-03-02 20:52:15,1558498,-1338874
2024-03-02 20:52:30,691682,-604801
2024-03-02 20:52:45,461980,-401744
2024-03-02 20:53:00,111446,-91946
2024-03-02 20:53:15,8783,-1101
2024-03-02 20:53:30,8929,-1205
2024-03-02 20:53:45,8944,-1164
2024-03-02 20:54:00,8890,-1029
2024-03-02 20:54:15,8849,-1108
2024-03-02 20:54:30,8721,-973
2024-03-02 20:54:45,8749,-1082
2024-03-02 20:55:00,8704,-1075
2024-03-02 20:55:15,8680,-1015
2024-03-02 20:55:30,8671,-1106
2024-03-02 20:55:45,8699,-1022
2024-03-02 20:56:00,227131,-188521
2024-03-02 20:56:15,699790,-594705